a.  huetz;d.  vichon
d. j. mcclure;warren e. falconer
k. a. smith;c.  higgs
tomoya  akiba;sumiaki  ibuki
o. f. kalman;l. c. mcintyre
t. j. kvale;d. m. blankenship
jean rené lalanne;bernard  pouligny
a.  tamura;yoshishige  suzuki
t. t. truong;klaus dieter schotte
m. k. mehta;nathu  ram
a. j. leadbetter;f.  moussa
c. k. au;yakir  aharonov
sunanda  guha;puspajit  mandal
s.  dhawan;g. zu putlitz
v. k. tripathi;d. p. tewari
j.  pinard;p.  jacquinot
charles f. kennel;john m. dawson
e. a. lazarus;r. c. isler
j. l. stone;robert v. krotkov
k. s. puttaswamy;ramakrishna  gowda
t. c. chu;s. m. morita
john j. kozak;eok k. lee
michael c. rushford;d. b. scarl
r. h. schuch;g.  nolte
ralph d. hight;n.  schaffel
j. c. browne;edward j. shipsey
oscar v. gabriel;r. h. pratt
james a. schiavone;susan m. tarr
c. j. orth;l. f. mausner
m.  de saint-simon;p.  jacquinot
s. d. sharma;james e. bayfield
s.  hoppenau;w. a. schönfeldt
brad lee holian;william g. hoover
h. p. baltes;antonio  quattropani
s. c. das;s. sen gupta
s. r. hartmann;alex  szabo
gregory j. salamo;mark a. newbold
george  aspromallis;cleanthes a. nicolaides
d. k. misemer;calogero renzo natoli
v. c. sutcliffe;c. j. david lin
werner  brandt;p. t. leung
a. g. adam;s. d. rosner
humberto s. brandi;luiz  davidovich
b.  bhattacharyya;biswajit  chakraborty
a. b. denison;p. a. thompson
i. b. nemirovsky;wolfgang  meckbach
nelson  cue;a. k. edwards
h. gordon berry;lorenzo j. curtis
sandor  trajmar;ara  chutjian
ove  poulsen;h.  dickow
brahm  dev;peter l. lee
ronald e. olson;k. r. stalder
reinhard  bruch;w. e. schwarz
ryoko  tsujinishi;munehiko  nagano
fernando  parente;george s. brown
gerhard  huber;p.  juncar
d.  ridders;d. h. schneider
preben  hvelplund;harold k. haugen
hitoshi  nishimura;sandor  trajmar
k. w. hill;w.  stodiek
david j. pegg;d. h. crandall
a. g. nader;n. v. de castro faria
hitoshi  nishimura;y.  inada
n.  stolterfoht;james h. mcguire
h. w. reist;p. a. souder
raju u. datla;robert l. brooks
johannes  richter;peter  winkler
alan a. hahn;h. e. henrikson
marco  pettini;massimo  mazzoni
j.  basu;n.  chaudhuri
a. d. may;v.  ghaem-maghami
r. e. lowther;r. l. coldwell
matthew s. lucas;c. m. jones
j. l. vialle;robert  klapisch
b.  suleman;william  happer
f. j. pichanick;s. a. lewis
gregory j. hatton;g. f. hildebrandt
gilbert  albinet;j. f. baret
eok k. lee;k. a. green
jürgen  mlynek;h.  burggraf
p. a. souder;daniel c. lu
kenneth j. mcneil;margaret d. reid
gilbert  albinet;j. l. firpo
r.  panock;p. f. liao
daniel  kleppner;jan r. rubbmark
manfred o. krause;thomas a. carlson
Ö.  staaf;r.  hallin
juan f. lam;r. c. lind
alexander b. rechester;roscoe b. white
j. l. dunlap;shinya  kasai
hazim  al-abawi;gerald t. moore
vu ngoc tuan;j.  pommier
vojislav  radojević;s.  vučić
g.  nolte;kingsley w. jones
elliot p. kanter;r.  kutina
h. m. epstein;b. e. campbell
john  weiner;john  keller
gordon h. dunn;d. o. heddle
larry d. gardner;james e. bayfield
vernon w. hughes;f. j. pichanick
m.  lieber;r. l. day
chris h. greene;shinichi  watanabe
charles k. rhodes;daniel j. kligler
constantine e. theodosiou;b. r. tambe
p. j. martin;d. m. blankenship
pierre  chevallier;michel  tavernier
wolfgang  sandner;william e. cooke
c. e. van eijk;m. a. popelier
n. c. mohapatra;k. prasad rao
tong w. shyn;g. r. carignan
jacek m. kowalski;marcel  ausloos
ivan a. sellin;peter m. koch
t.  andersen;s. m. bentzen
e. g. silver;robert d. cowan
h.  orth;vernon w. hughes
george s. brown;mau hsiung chen
walter  greiner;b. r. müller
r. d. dubois;e. b. justiniano
annette  lecourt;j. l. pellissier
nelson  cue;k.  inglis
a. g. bois;j. l. firpo
w.  schmidt;p. f. müller
j. l. vialle;j.  pinard
g. d. meneses;gy.  csanak
b. s. sood;s. l. verma
e.  horsdal-pedersen;t.  andersen
f. g. mariam;p. a. thompson
benjamin  lax;michael  rosenbluh
c. wang chang;thomas f. george
magnus  rittby;e. j. brändas
brant m. johnson;patrick  richard
paul s. bagus;cecilia  björkman
masayuki  oyamada;m.  kamiya
peter e. toschek;w.  neuhauser
a.  beckmann;h.  fietz
james e. bayfield;s. d. sharma
t. c. chu;k.  sera
alex  pines;t. w. shattuck
p.  greve;masaki  kato
m. f. achard;gilles  sigaud
mark d. semon;christopher m. sorensen
f.  laperriere;m. s. dababneh
joachim  reinhardt;walter  greiner
y. c. chou;walter i. goldburg
d.  le queau;a. saint marc
f. g. kellert;r. f. stebbings
erich  weigold;l.  frost
j  f. delpech;k. a. safinya
n.  abu-salbi;joseph  callaway
s. m. morita;keizo  ishii
j. m. bassalo;v. s. walder
wolfhard  möller;p.  loftager
a.  bengtson;t.  noreland
f.  laperriere;t. s. stein
jose d. garcia;r. j. fortner
c. h. batson;g. l. goodman
robert  klapisch;p.  juncar
p. h. kleban;l.  foreman
e.  alvarez;a.  bengtson
hajime  tanaka;s.  nakaichi
i. sundara rao;nathu  ram
james e. lawler;b.  couillaud
ram k. varma;m. y. yu
john w. cooper;earl w. smith
akira  onuki;irwin  oppenheim
e.  redd;jerry l. peacher
k.  kaminishi;robert w. short
robert d. cowan;s. l. allen
m.  de saint-simon;c.  thibault
wolfhard  möller;flemming  besenbacher
vu ngoc tuan;m.  barat
guido lo vecchio;giancarlo  benettin
l. k. lam;robert w. hellwarth
itamar  procaccia;isaac  goldhirsch
e.  navon;dan  nir
t. m. boyd;h. c. barr
d. h. schneider;p.  ziem
ellen r. brown;steven l. carter
b.  patra;r. k. bera
m.  glass-maujean;p. m. guyon
franz  howorka;h.  ramler
rainer  johnsen;marlin  whitaker
ernest m. henley;a. m.  mårtensson
manfred o. krause;john d. allen
w. h. flygare;m. r. keenan
m. s. dababneh;w. e. kauppila
t.  andersen;p.  bisgaard
richard p. leavitt;clyde a. morrison
josef  paldus;richard k. moats
m. j. gaillard;j. c. poizat
robert h. clark;stephen j. goett
vernon w. hughes;s. a. lewis
v. c. sutcliffe;james h. mcguire
kazunaru  tomishima;ryoko  tsujinishi
marvin  bishop;jonathan  roth
ignacio  alvarez;arnold  russek
j.  laane;wolfgang  kiefer
g.  tarle;m. h. salamon
k. a. smith;g. b. mcmillian
m. f. ross;william b. hubbard
vishnu r. marathe;alfred x. trautwein
r. m. hobson;j. s. chang
w. e. kauppila;f.  laperriere
ronald s. pindak;charles  rosenblatt
daniel c. lu;t. w. crane
c. h. batson;j.  berkowitz
t.  von egidy;f. j. hartmann
d.  eames;n. r. sauthoff
victor  pol;y. k. ho
claude  deutsch;h.  minoo
a.  yamadera;m.  sebata
wayne d. kimura;j. a. edighoffer
p. y. lu;p. p. ho
eric h. pinnington;robert l. brooks
nicolaas  bloembergen;m. c. downer
t. k. umesh;c.  ranganathaiah
a.  tamura;hitoshi  nishimura
jan v. sengers;h. c. burstyn
g. michael bancroft;james d. talman
arie  zigler;shalom  eliezer
b. b. srivastava;j. h. jacob
e. a. lazarus;p. h. edmonds
v.  nardi;winston h. bostick
rodolfo  bonifacio;pierre  meystre
t. g. heil;s. e. butler
yannis  komninos;donald r. beck
m. s. dababneh;j. h. smart
pierre m. pfeuty;john c. wheeler
r.  panock;terry a. miller
a.  arnesen;Ö.  staaf
shinya  kasai;j. l. dunlap
francis m. pipkin;d. a. van baak
léon  brenig;chris  van den broeck
a.  mandl;m.  kovacs
a.  mandl;b. b. srivastava
e.  marié;r.  vetter
g.  vertogen;s. p. flapper
k.  kaminishi;rajarshi  roy
s.  dhawan;p. a. thompson
p. j. schneider;ronald e. olson
patrick  richard;tom j. gray
j. william doane;nuno p. vaz
irwin  oppenheim;jonathan  machta
t. r. dillingham;james r. macdonald
eli  yablonovitch;nicolaas  bloembergen
w. e. kauppila;t. s. stein
c. barros leite;n. v. de castro faria
d.  merlini;r.  calinon
r. h. dixon;r. c. elton
h. gordon berry;s. j. hinterlong
g.  gousset;alain  catherinot
toshiki  tajima;charles f. kennel
duane a. dolejsi;p. e. chumbley
russell a. hulse;einar  hinnov
a. n. kamal;peter b. weichman
d. h. schneider;w. e. schwarz
sumiaki  ibuki;takashi  nakayama
e. s. mashkova;a. m. borisov
p.  jacquinot;a.  pesnelle
k. a. smith;t. h. jeys
r. a. phaneuf;gordon h. dunn
j. richard mowat;j. e. willis
vincent  mckoy;arne w. fliflet
a.  arnesen;r.  hallin
marc  hou;natarajan d. bhaskar
john d. mccullen;george j. dezenberg
r. h. storz;j. c. white
n.  schaffel;h. gordon berry
w.  denk;h.  daniel
ronald e. olson;w. g. graham
calogero renzo natoli;d. k. misemer
munir h. nayfeh;g. barry hillard
d. f. register;sandor  trajmar
c. l. cocke;tom j. gray
n.  chan-tung;s.  bliman
donal j. burns;h. gordon berry
h. p. gush;r.  schieder
c. h. ma;j. l. dunlap
walter i. goldburg;y. c. chou
f. b. dunning;r. f. stebbings
j. d. perez;gerald l. payne
a. saint marc;rené  pellat
a.  pesnelle;hong tuan duong
g. h. both;wolfgang  neuwirth
etienne  guyon;y.  poggi
m. t. manninen;i.  välimaa
p. a. egelstaff;albert  teitsma
f. j. hartmann;w.  wilhelm
jean pierre rozet;a.  touati
w.  lindinger;e.  alge
robert e. walkup;david e. pritchard
v. t. rajan;chia wei  woo
p. h. edmonds;e. a. lazarus
k. r. stalder;robert v. pyle
j. l. vialle;p.  jacquinot
p. j. cooney;zeev  vager
mogens r. samuelsen;ole h. olsen
nathu  ram;m. k. mehta
jan  mostowski;michael g. raymer
s.  nakaichi;hajime  tanaka
balazs f. rozsnyai;verne l. jacobs
richard m. schectman;donal j. burns
kenneth i. golden;yaakov  shima
a.  tino;thomas m. miller
paul c. kepple;j. p. apruzese
e. j. brändas;magnus  rittby
michel  trahin;naseem k. rahman
t. h. jeys;f. b. dunning
m. r. gunye;s. g. menon
maria  hoffmann-ostenhof;ruedi  seiler
helena  aksela;seppo  aksela
d.  guillon;william b. daniels
l. e. murray;p. h. edmonds
benjamin  lax;terry a. miller
verne l. jacobs;john w. cooper
wolfgang  neuwirth;werner  pietsch
p.  ziem;d. h. schneider
h.  endo;masayuki  uda
hugh p. kelly;raymond l. simons
j. e. watson;james s. koehler
j. a. edighoffer;r. h. pantell
g.  nouchi;sow hsin chen
william d. watson;randy b. christensen
m.  de saint-simon;robert  klapisch
frank w. kutzler;d. k. misemer
jian min yuan;lorenzo m. narducci
x. y. huang;jian min yuan
j. p. downing;m. s. dababneh
peter  zoller;roman  salvador
w.  stodiek;n. r. sauthoff
harald  king;guntram  schröder
a. r. kunselman;petr  vogel
josef  paldus;harris j. silverstone
carl w. garland;benjamin m. ocko
michael m. kash;jan r. rubbmark
a. k. bhatia;joseph  sucher
d.  vichon;r. i. hall
h. s. suzuki;shunsuke  ohtani
einar  hinnov;russell a. hulse
robert w. boyd;donald j. harter
g. l. goodman;j.  berkowitz
ngai c. wong;satoru s. kano
v. kelvin neil;abraham  szoke
j. a. tanis;p. j. schneider
e.  asseo;rené  pellat
daniel f. walls;c. w. gardiner
jiří  Čížek;joseph e. avron
y. z. gulkok;s. d. sharma
john t. park;c. j. david lin
t. c. chu;keizo  ishii
j.  richou;truong-bach
a. k. bhatia;michael s. pindzola
j.  vetter;p. a. souder
hugh e. dewitt;w. l. slattery
klaus h. berkner;alfred s. schlachter
ph.  cahuzac;peter e. toschek
haim  yatom;gabor j. kalman
philip w. coulter;w. r. garrett
stig  stenholm;arturo  bambini
s. c. roy;lynn d. kissel
james h. mcguire;c. j. david lin
walter l. borst;jens  fricke
e.  alvarez;r.  hallin
g. d. meneses;n. t. padial
abraham  szoke;v. kelvin neil
david e. pritchard;robert e. walkup
v.  ghaem-maghami;a. d. may
walter i. goldburg;srinivasan  krishnamurthy
t. s. stein;m. s. dababneh
l. f. mausner;c. j. orth
j. j. yeh;joseph h. eberly
m. s. kaschiev;filip r. vukajlović
t.  mikumo;k.  umetani
john s. risley;r. g. rolfes
sakae  shimizu;shin  ito
patrick  richard;brant m. johnson
carl w. garland;robert j. birgeneau
akira  hitachi;christopher  davies
akiva  ron;r. h. pratt
c.  vaucamps;l.  letamendia
j.  rouch;l.  letamendia
j.  wijnhorst;m. a. popelier
k.  wakiya;fumihiro  koike
hong tuan duong;c.  thibault
masayuki  uda;h.  endo
warren e. falconer;kenneth b. mcafee
n. r. sauthoff;w.  stodiek
a.  sieradzan;frank a. franz
david j. land;james g. brennan
jean  désesquelles;m. c. buchet-poulizac
i. sundara rao;m. k. mehta
t. k. umesh;k. s. puttaswamy
edward p. lee;chun c. lin
franco  persico;giuseppe  compagno
b.  jacquot;j.  aubert
jon alan wright;s. h. chang
d.  roekaerts;enrique  tirapegui
m.  hohenstatt;w.  neuhauser
swaraj s. tayal;awadh n. tripathi
siegfried  lauer;alfred x. trautwein
f. g. mariam;j.  vetter
jeffrey  bokor;r. t. hawkins
e. g. silver;k.  brau
c. e. van eijk;j.  wijnhorst
takao  ohta;denis a. nicole
ralph  krotz;wolfgang  neuwirth
jean pierre briand;michel  tavernier
f.  mokross;helmut  büttner
bogumił  jeziorski;hendrik j. monkhorst
melville s. green;r. l. graham
quirin f. vrehen;j. j. der weduwe
avinash c. sharma;j. c. camparo
d.  guillon;p. l. finn
m. t. manninen;risto m. nieminen
d.  dhuicq;vu ngoc tuan
n.  schaffel;donal j. burns
fernando j. da paixão;g. d. meneses
duane a. dolejsi;j. s. lin
shaoul  ezekiel;richard p. hackel
c. c. bahr;r. a. kenefick
j. j. chmielewski;b.  sollenberger
s.  marchetti;salvatore  iannotta
c.  peugnet;a.  devin
richard s. crandall;murray a. lampert
ove  poulsen;u.  nielsen
carl  nordling;Ö.  staaf
t.  mikumo;terumi  nakagawa
joseph h. eberly;j. j. sanchez-mondragon
h. gordon berry;j. e. hardis
f. b. dunning;gregory j. hatton
robert v. pyle;ronald e. olson
s.  liberman;j. l. vialle
john d. morgan;reinhart  ahlrichs
david m. ronis;charles  rosenblatt
daniel  walgraef;guy  dewel
a. a. mihajlov;r. k. janev
k.  brau;s.  von goeler
wolfgang  sandner;k. a. safinya
ivan a. sellin;d. h. crandall
john t. park;e.  redd
keizo  ishii;m.  kamiya
w.  lindinger;s. e. kuhn
l. j. schaad;bernd a. hess
zbigniew w. grabowski;ali e. khalil
jane d. legrange;jack m. mochel
charles d. moak;matt d. brown
d.  klimek;j. h. jacob
d. m. o'brien;jeff f. young
mau hsiung chen;george s. brown
bjarne  andresen;abraham  nitzan
takeshi  ishihara;tsutomu  watanabe
terence a. king;tadayoshi  doke
ralph s. janda;peter  hanggi
victor  kaufman;jack  sugar
yoshifumi  harada;yasuo  suzuki
g.  bertschinger;h. j. kunze
savo  bratos;gilles  tarjus
b.  bhattacharyya;a. k. barua
j. p. chabrat;g.  nouchi
edward a. hinds;vernon w. hughes
e. b. justiniano;n. v. de castro faria
stephen m. younger;emile j. knystautas
thomas f. gallagher;k. a. safinya
mitsuko  murakami;p. h. edmonds
stephen m. foiles;n. w. ashcroft
joseph  callaway;n.  abu-salbi
c. j. david lin;t. j. kvale
a.  mandl;j. h. jacob
e.  redd;c. j. david lin
paul r. berman;arturo  bambini
gregory e. garland;james w. dufty
s. p. mcglynn;g. l. findley
hermann  grabert;r. l. graham
darryl d. coon;siddheswar  chaudhuri
m.  aydinol;i.  mcgregor
m. suhail zubairy;s. r. singh
p. c. gane;j. j. benattar
tatsumi  kawaratani;sakae  shimizu
r. l. day;f. t. chan
s. c. bates;c. h. ma
hiroki  nakamura;masatoshi  namiki
r. h. pantell;m. a. piestrup
ronald  kreutz;g. h. both
c. l. cocke;cüneyt  can
j. e. willis;j. a. tanis
rosalia  zangara;claudio  leone
eric r. eliel;wim  hogervorst
k.  arnett;e.  redd
anthony c. ladd;wm. g. hoover
alfred s. schlachter;ronald e. olson
ajit j. thakkar;vedene h. smith
harold d. bale;p. e. chumbley
david w. mclaughlin;brad lee holian
c. m. jones;ali a. antar
peter d. drummond;peter  zoller
r. l. watson;john r. white
m.  de saint-simon;p. l. pillet
michael s. pindzola;w. r. garrett
j. l. dunlap;mitsuko  murakami
a.  rachman;g.  laplanche
gene e. ice;george s. brown
benjamin  bederson;bernardo  jaduszliwer
j. william doane;mary e. neubert
m.  palmquist;robert  yaris
f. t. chan;d.  umberger
fumihiro  koike;k.  wakiya
darryl d. coon;g. e. derkits
k. w. hill;s.  von goeler
t.  coan;john e. rice
john m. dawson;j. n. leboeuf
takeshi  ishihara;jörg m. eichler
p.  pellegrin;laszlo  palffy
deborah a. levin;vincent  mckoy
p. a. thompson;s.  dhawan
richard m. more;wm. g. hoover
david c. cartwright;n. t. padial
maria  hoffmann-ostenhof;reinhart  ahlrichs
guntram  schröder;roy j. glauber
g. l. findley;j. p. connerade
david j. land;matt d. brown
matt d. brown;quentin c. kessel
joseph e. avron;richard k. moats
pradip m. bakshi;kenneth i. golden
ph.  gouard;b.  duborgel
james r. stallcop;c. wang chang
galen k. straub;william g. hoover
rainer  hippler;hans  kleinpoppen
v.  brückner;g.  saemann-ischenko
a. m. robinson;r. l. sinclair
jean marie vigoureux;l.  d'hooge
d.  eames;w.  stodiek
p. o. egan;p. a. souder
joseph h. eberly;j. j. yeh
kenneth m. sando;g. j. erickson
a.  pesnelle;j.  pinard
j. c. poizat;nelson  cue
j. p. miller;kang l. wang
douglas w. jones;john d. mccullen
girish s. agarwal;surya p. tewari
t. w. crane;h.  orth
franz  howorka;w.  lindinger
g. f. hildebrandt;f. b. dunning
lorenzo m. narducci;r.  saxena
fred l. roesler;frank s. tomkins
c. h. skinner;paul d. kleiber
m. c. dharma-wardana;françois  grimaldi
lorenz s. cederbaum;a.  barth
manfred o. krause;david  mehaffy
ravinder  kachru;s. r. hartmann
douglas w. jones;george j. dezenberg
h.  pummer;jeffrey  bokor
a. m. howald;r. j. girnius
clyde a. morrison;richard p. leavitt
t. j. kvale;j. m. george
m. j. coggiola;james ray peterson
h. c. werner;d. h. schneider
howard c. hayden;m.  vedder
d.  eames;s.  von goeler
quentin c. kessel;ali a. antar
david m. ronis;itamar  procaccia
john w. cooper;robert j. ballagh
john m. dawson;a. t. lin
j.  fryar;r. g. rolfes
ara  chutjian;sandor  trajmar
girish s. agarwal;lorenzo m. narducci
ludwig c. balling;john j. wright
reinhart  ahlrichs;john d. morgan
andrew u. hazi;thomas n. rescigno
marlan o. scully;pierre  meystre
j.  feugeas;winston h. bostick
k. r. stalder;p. j. schneider
e. g. silver;m.  bitter
s.  dhawan;f. g. mariam
bernd a. hess;l. j. schaad
t. darrah thomas;juhani  väyrynen
s. c. bates;mitsuko  murakami
r. p. sharma;tarsem  singh
mitsuko  murakami;c. h. ma
robert a. naumann;l. f. mausner
d.  varshneya;s. f. shirron
vernon w. hughes;charles e. johnson
l.  letamendia;c.  vaucamps
s.  büttgenbach;a.  pesnelle
mitio  inokuti;isao  shimamura
paul  narum;donald j. harter
john a. leavitt;harvey a. gould
martine ben amar;françoise combet farnoux
kang l. wang;alan a. hahn
robert j. birgeneau;gerald b. kasting
robert d. cowan;k.  brau
c. s. lima;l. m. miranda
harold k. haugen;preben  hvelplund
m.  kurilla;andrew u. hazi
k. c. pandey;sudhanshu s. jha
c. j. david lin;kingsley w. jones
yu kwon kim;k. t. cheng
j. e. bjorkholm;d. b. pearson
s.  huldt;lars  engström
e.  navon;alfred k. mann
walter r. johnson;c. m. lee
h.  harde;h.  burggraf
w. a. schönfeldt;s.  hoppenau
george  basbas;f. d. mcdaniel
donald s. gemmell;zeev  vager
c. s. hsu;aneesur  rahman
s.  marchetti;giacinto  scoles
murray a. lampert;richard s. crandall
marc  couture;pierre a.  belanger
ronald s. pindak;robert b. meyer
p. o. egan;daniel c. lu
l. b. bridwell;ali a. antar
g.  gaukler;g.  nolte
giancarlo  benettin;alexander  tenenbaum
abraham  nitzan;peter  salamon
e.  bovet;kang l. wang
h. p. gush;g.  winnewisser
nils  elander;magnus  rittby
slobodan  Žumer;marija  vilfan
h. w. reist;vernon w. hughes
n. r. sauthoff;k.  brau
s.  wakid;a. k. bhatia
a.  arnesen;e.  alvarez
m.  sebata;s. m. morita
james e. lawler;t. w. hansch
kang l. wang;e.  bovet
rajarshi  roy;m. suhail zubairy
phillip  sprangle;henry p. freund
victor  pol;t. s. stein
c.  ebner;w. f. saam
k.  sera;keizo  ishii
p.  jacquinot;m.  de saint-simon
sow hsin chen;j. p. chabrat
p.  juncar;f.  touchard
joseph h. eberly;s. r. hartmann
matt d. brown;c. m. jones
thomas n. rescigno;ann e. orel
michael a. lee;w. f. saam
daniel j. kligler;charles k. rhodes
w.  denk;f. j. hartmann
y. z. gulkok;james e. bayfield
wallace m. manheimer;j. l. vomvoridis
kazuyoshi  yamada;g.  winnewisser
h.  daniel;w.  wilhelm
r. j. powers;alan a. hahn
chun c. lin;edward p. lee
s.  röhl;martin  dost
rosalia  zangara;gaetano  ferrante
l. d. schmidt;l.  foreman
s. e. frolking;ludwig c. balling
jong h. choi;s. k. knudson
p.  juncar;a.  pesnelle
david e. golden;n. c. steph
c.  thibault;p.  jacquinot
mina  vajed-samii;s. n. ray
m. s. dababneh;f.  laperriere
k. w. hill;robert d. cowan
a.  bengtson;r.  hallin
m. j. boyle;josef  paldus
r.  calinon;gabor j. kalman
m. m. gombert;h.  minoo
vincenzo g. benza;pierre  meystre
michael  rosenbluh;h. q. le
